text,keyword
Chenle itu lumba lumba bukan hiu kampret ,kampret
@Fitokimiaa kampret dah ,kampret
U kno kampret,kampret
Ada woe kampret kali dibilang penyakit :/,kampret
"Emang janji tinggal janji, ketika liat duit, Al Qur'an dan Tuhan pun dikhianati demi fulus Drai reklamasi, buat kampret pendukungnya, emang dipikirin!! https://twitter.com/MARQUEZ__93/status/1277488106921287681",kampret
Oqlah majikan kampret -Berry,kampret
Njir spoiler kampret,kampret
Sama bro dia kampret juga ,kampret
Temannya kampret ,kampret
kampret &lt;3,kampret
Temannya kampret,kampret
" kampret penakut !!! hanya bisa makan dr sisa remah"" meja makan bakrie !!!",kampret
"Senyumin, sabarin, diemin, lama lama batin juga hehe kampret :)",kampret
"Tiap nonton pernah episode nangis mulu kampret, sampe hatiku ikut sakit ",kampret
temen2ny jg kampret si won tersiksuy jg ttp stay cool,kampret
Kampret kampret ngrepoti,kampret
"Absurd banget sih mimpi buruk semalem, lagi kayak duduk santai gitu terus ada yanh iseng bawain ikan hiu gitu dan gw digigit ikan hiu terus temen2 gw pada ngeliatin aja bukannya nolongin ehh malah ketawa. Kampret emg yak...",kampret
Aku mah keknya kuota berapa aja abis ini lgi 50GB belum sebulan masih ada seminggu udh abis aja kampret Orang normal pake kuota gk abis nah gw saking gilanya download ini itu abis mulu ,kampret
"""Pdkng jenderal kardus n jenderal baper kampret ngak malu bahas hutang lah sang jenderal sj byk hutang pribadi kengr kok ngak pd ngaca sih ya pdkngnya duh tolol banget bahkan ktnya karyawannya sj blm digaji kok mlh mau mensejahterakan buruh ktnya ngakak guling2 #Jokowi2Periode",kampret
Pdkng jenderal kardus n jenderal baper kampret ngak malu bahas hutang lah sang jenderal sj byk hutang pribadi kengr kok ngak pd ngaca sih ya pdkngnya duh tolol banget bahkan ktnya karyawannya sj blm digaji kok mlh mau mensejahterakan buruh ktnya ngakak guling2 #Jokowi2Periode,kampret
Ya Allah kerjaku hanya tidur dirumah nonton pororo atau ga wbb terus makan masih aja di fitnah GUA DOAIN SEMOGA JADI TUYUL LU JEE. KAMPRET,kampret
"Diantara segeng cuma ni anak yg belum kena virus oppa, sekalinya kena bias w dihajar. Emg kampret tu org ",kampret
Kampret lu mana ada gua buaya darat,kampret
wkwkwkw buat kampret....,kampret
kampret bgt emng ,kampret
Huehehe...kawin silang antara kadal gurun dan kampret,kampret
"Podo"" kampret jangan saling mendahului :""v",kampret
HAFSUAHA KAMPRET GUE KANGEN TAYNEW ,kampret
Kampret gimana nasib bajuku yg di luar almarii ,kampret
"apa emang udah takdir ya, klo si ""dia"" itu cepet banget ilangnya. ga di sekolahan ga ditempat kerja cepet aja tuh ngilang. knp sii suka heran aja gtu. contoh nih hari ini nih dikasih sore nya udah ilang. kampret banget ya emang ga bisa jaga diri baek baek ",kampret
"TADI DI MIMPI GUA ADA STRAY KIDS, MANA SI CHANGBIN PUNYA KEKUATAN MENGHILANG DAN GUA TERIAK KE FELIX KALO CHANGBIN HILANG TERUS DIA PANIK EH KAMPRET MALAH KEBURU MUNCUL LAGI SI CHANGBIN, HUHU LANGSUNG GUA PELUK FELIX NYA SAMBIL BILANG ""BERCANDA SAYANG"" ASDFGHJKL",kampret
kampret jauh,kampret
"Real asli @mas_piyuuu si Penjilat buzeRp nasbung,Kampret bin Kadrun ",kampret
Kampret biasane awan leh turu,kampret
