text,keyword
emg lu paling bego langit,bego lu
"Check out Audio Book Elven Magic on Audible, amazon pay $75 for every bounty(have to be a member for 91 days consecutively) .",bego lu
"Semua yg ga setuju sm pemerintah lu bilang hoax. Tp kalo hoax yg dikeluarkan pemerintah atau buzzerp2nya elu percaya 100%. Bego emang gratis, tp jgn lu borong sendiri, cung!",bego lu
"apa ga mikirin perasaan cwenya?pdhl udh tau dia udh punya pcr, dan lo jg udh tau kl lo kek ngerebut kebhagiaan org dan itu salah. maaf, lu bego sih kl masi mau ngelanjutin.",bego lu
Gak lah lu pikir kita bego?,bego lu
"Iyaa araa bego mau aja ditipu haha gila,gini"" gw juga manusia tau,lu kira gpunya perasaan apa hah main nipu aja",bego lu
"Ngomong lu ""Pura pura bego aja"" yeh kalo lu pinter mah lu ga mendek di rumah, kerja woyyyyy, bego lu cuma pura pura aja kan??????",bego lu
tuhkan udh terang beloman tidur. . . SUMPAH LU AL BEGO ,bego lu
Kakek Pintar Kakek : Cu tolong nyalain tv.nya dong . Kakekk pengen nonton tv nih. . Cucu menjawab: listriknya mati kek. . Kakek : yang mati listriknya kan . bukan tv.nya . Bego lu . Cucu : #Nelen TV,bego lu
masi pagi ini woi! lu yg ngetik nya ngawur apa gua yg bego si ,bego lu
"Sok iye aja lu,tidur bego",bego lu
"Kadang setan bisikin gw, BEGOLU!!!",bego lu
"Dia transfer 3,5 ke dakjal, padahal sendirinya kesusahan. Ujung ujungnya minjem ke gua. Bangsatt, bego, bodoh, Lu bodoh!",bego lu
Muka lu lebih ke bego dari pada jutek di,bego lu
"Emang mata gak bisa boong. The dog : Majikan bego, mampet kan jadinya. Mampus lu pas bini lu tau. Gue aduin nanti yaa awas aja lu. Mau ngumpet dimana hah!? Istri lu bentar lagi pulang ",bego lu
"Kalo kata si syifanut “Ris, kalo ada orang bego, lu chill aja, bego ditanggung masing2, bukan kewajiban lo buat bikin mereka pinter”",bego lu
"Pengen ngejelasin cuman takut ni orang bego jadi pinter ntar. Atta lu dah yang paling sempurna emang iya ""Didepan kamera"" ",bego lu
Klo lu yg ngomong gak baru keliatan org bego nya wkwk,bego lu
"Untuk paham jiwa laki² aja lu BEGO ! Apa lu bisa paham soal jurnal psikologi pria ? Kawin aja ama bencong ! Perempuan tanpa maskulinitas pria bakal tertindas, bahkan oleh ocehan kaum wanita sendiri ! Siapa yg paling banyak tanya lu belum kawin ? Perempuan dari kerabatlu.. Ha..ha",bego lu
"William Wongso dinyinyir, buta tuli ya lu pada. Buka mata, telinga buat cari dan cerna informasi. Latah boleh, tapi jgn mau latah bego!!! Dari zaman sekolah kita kagum ni orang Lu malah nyiyir. Esmoni hayati ",bego lu
hukuman krn baca manga baca ulang puebi pk 100 soal mampus lu bego,bego lu
"Ha..ha, Lu tanya semua laki² ! Itu artinya lu ga bisa pahami laki² ! Dunia laki berjibaku dgn dunia keras, bukan dgn kasih sayang. Kata² candaan sesama mereka ga seperti perempuan dgn perempuan ! Soal ini aja lu BEGO ! Emang perempuan, udah tua juga masih bisa gandeng²an tangan !",bego lu
"Check out Audio Book Elven Magic on Audible, amazon pay $75 for every bounty(have to be a member for 91 days consecutively) .",bego lu
"kalo ngritik selalu di katain nyinyir, orang macam wiji tukul pun dibenak kau orang nyinyir yg ga pernah berdoa buat bgsa ini yak ? pen gua maki2 aja orang kek lu biar ga bego, udah bego sok intelek sok peduli sok baik, makan tuh gua katain balik ",bego lu
Lu juga bego,bego lu
"lu nanya atau pura2 bego sih, kzl",bego lu
"Ga, lu ga bego cen emang udah ilang patungnya , but how? ",bego lu
SURUH LU SMUA DIEM BEGO,bego lu
Pura-pura bego ya lu. Gue doain bego beneran dah,bego lu
TAI ASU LU BEGO,bego lu
"alah lu juga jamet bego wkwk. kaga anjir ngadi ngadi itu yakali dah, emang kaga el duh. EL INI LAGI GHIBAH APA GMN SI",bego lu
"Tanda jantung sehat adalah penis lu tebel. Makanya olahraga. Bentuk tubuh lu, jangan bentuk kebegoan lu, apalagi penis lu itu ikutan bego. Halah, dasar penisilin maksudnya.",bego lu
